Id,Prediction
1,1
2,7
3,2
4,8
5,5
6,7
7,1
8,3
9,6
10,4
11,3
12,7
13,4
14,5
15,6
16,5
17,5
18,8
19,3
20,9
21,0
22,3
23,3
24,5
25,6
26,1
27,5
28,2
29,8
30,4
31,6
32,9
33,1
34,9
35,3
36,9
37,9
38,6
39,8
40,2
41,5
42,9
43,7
44,2
45,2
46,7
47,9
48,4
49,5
50,6
51,0
52,6
53,0
54,9
55,4
56,9
57,9
58,5
59,9
60,3
61,9
62,2
63,4
64,6
65,0
66,6
67,0
68,8
69,0
70,9
71,8
72,2
73,9
74,4
75,9
76,7
77,8
78,9
79,1
80,7
81,6
82,5
83,9
84,6
85,4
86,1
87,5
88,1
89,7
90,3
91,2
92,2
93,4
94,1
95,8
96,8
97,1
98,8
99,3
100,5
101,1
102,5
103,8
104,9
105,8
106,1
107,0
108,7
109,4
110,0
111,2
112,2
113,2
114,1
115,8
116,0
117,0
118,4
119,3
120,3
121,0
122,7
123,1
124,0
125,3
126,3
127,2
128,2
129,1
130,6
131,8
132,6
133,7
134,1
135,1
136,1
137,6
138,6
139,6
140,4
141,2
142,8
143,8
144,6
145,1
146,7
147,4
148,6
149,1
150,7
151,7
152,9
153,2
154,1
155,8
156,2
157,1
158,6
159,0
160,6
161,2
162,3
163,1
164,1
165,8
166,2
167,9
168,9
169,5
170,9
171,4
172,7
173,8
174,3
175,7
176,6
177,5
178,3
179,8
180,6
181,6
182,0
183,7
184,9
185,3
186,0
187,2
188,6
189,4
190,5
191,4
192,1
193,0
194,6
195,0
196,5
197,7
198,8
199,3
200,2
201,6
202,6
203,6
204,6
205,7
206,9
207,5
208,1
209,5
210,0
211,9
212,7
213,3
214,2
215,2
216,2
217,4
218,2
219,9
220,3
221,0
222,5
223,5
224,3
225,4
226,3
227,1
228,2
229,3
230,6
231,3
232,7
233,3
234,6
235,4
236,3
237,9
238,8
239,9
240,1
241,6
242,7
243,6
244,2
245,3
246,1
247,6
248,3
249,3
250,1
251,9
252,6
253,6
254,8
255,4
256,8
257,1
258,8
259,8
260,0
261,3
262,5
263,3
264,8
265,8
266,0
267,6
268,0
269,4
270,1
271,7
272,3
273,7
274,4
275,6
276,8
277,2
278,6
279,8
280,1
281,7
282,7
283,0
284,3
285,0
286,9
287,3
288,4
289,9
290,0
291,6
292,7
293,4
294,8
295,6
296,6
297,3
298,7
299,8
300,8
301,0
302,2
303,4
304,4
305,3
306,3
307,3
308,6
309,6
310,8
311,8
312,1
313,2
314,0
315,6
316,8
317,5
318,3
319,0
320,8
321,5
322,2
323,9
324,9
325,4
326,0
327,6
328,4
329,9
330,3
331,0
332,9
333,4
334,4
335,9
336,3
337,6
338,7
339,0
340,8
341,7
342,3
343,6
344,4
345,9
346,2
347,0
348,4
349,8
350,8
351,7
352,3
353,4
354,0
355,8
356,7
357,1
358,0
359,6
360,4
361,6
362,4
363,7
364,4
365,6
366,0
367,5
368,8
369,1
370,4
371,9
372,3
373,7
374,2
375,9
376,9
377,9
378,6
379,1
380,9
381,1
382,5
383,6
384,2
385,2
386,2
387,6
388,9
389,6
390,2
391,5
392,8
393,3
394,5
395,1
396,5
397,0
398,4
399,4
400,3
401,5
402,5
403,8
404,7
405,2
406,5
407,0
408,9
409,9
410,7
411,6
412,1
413,0
414,6
415,6
416,8
417,2
418,8
419,0
420,7
421,5
422,9
423,3
424,3
425,6
426,9
427,6
428,2
429,0
430,2
431,3
432,7
433,6
434,9
435,3
436,2
437,1
438,2
439,6
440,7
441,9
442,5
443,7
444,8
445,8
446,1
447,0
448,6
449,0
450,7
451,5
452,5
453,5
454,8
455,4
456,2
457,1
458,7
459,5
460,9
461,4
462,9
463,7
464,8
465,9
466,7
467,2
468,4
469,8
470,7
471,1
472,3
473,8
474,2
475,6
476,4
477,5
478,0
479,8
480,4
481,1
482,8
483,6
484,9
485,3
486,5
487,5
488,3
489,1
490,1
491,4
492,0
493,1
494,9
495,8
496,5
497,9
498,2
499,5
500,8
501,2
502,8
503,6
504,7
505,0
506,9
507,4
508,5
509,2
510,2
511,8
512,3
513,7
514,5
515,5
516,8
517,2
518,7
519,4
520,3
521,4
522,2
523,2
524,3
525,8
526,5
527,4
528,1
529,0
530,1
531,9
532,8
533,0
534,9
535,1
536,8
537,0
538,1
539,5
540,9
541,3
542,6
543,5
544,9
545,3
546,9
547,9
548,5
549,8
550,9
551,2
552,4
553,3
554,7
555,1
556,6
557,8
558,0
559,3
560,9
561,2
562,7
563,4
564,7
565,2
566,7
567,7
568,8
569,9
570,6
571,6
572,0
573,6
574,7
575,9
576,2
577,4
578,6
579,3
580,9
581,3
582,1
583,8
584,8
585,1
586,4
587,9
588,4
589,2
590,7
591,7
592,8
593,6
594,9
595,2
596,2
597,7
598,6
599,6
600,2
601,3
602,2
603,1
604,7
605,8
606,8
607,5
608,7
609,0
610,8
611,6
612,6
613,5
614,2
615,3
616,7
617,3
618,5
619,6
620,6
621,6
622,3
623,1
624,7
625,4
626,3
627,9
628,5
629,3
630,5
631,4
632,6
633,0
634,0
635,7
636,9
637,5
638,6
639,0
640,2
641,1
642,1
643,7
644,5
645,1
646,6
647,3
648,4
649,1
650,4
651,8
652,3
653,2
654,4
655,2
656,2
657,7
658,0
659,3
660,0
661,7
662,0
663,9
664,5
665,2
666,9
667,5
668,7
669,7
670,3
671,9
672,1
673,7
674,9
675,4
676,6
677,6
678,9
679,5
680,9
681,3
682,6
683,5
684,4
685,8
686,1
687,1
688,3
689,9
690,8
691,3
692,8
693,0
694,2
695,7
696,6
697,0
698,3
699,3
700,9
701,1
702,9
703,4
704,7
705,3
706,3
707,0
708,9
709,8
710,4
711,5
712,2
713,0
714,8
715,5
716,5
717,1
718,3
719,2
720,6
721,6
722,2
723,8
724,1
725,1
726,3
727,0
728,2
729,2
730,1
731,5
732,6
733,0
734,9
735,5
736,2
737,4
738,7
739,4
740,6
741,9
742,9
743,7
744,7
745,2
746,7
747,4
748,6
749,0
750,7
751,7
752,4
753,3
754,4
755,5
756,4
757,2
758,3
759,7
760,6
761,0
762,0
763,3
764,4
765,5
766,3
767,2
768,1
769,2
770,9
771,0
772,9
773,5
774,1
775,8
776,7
777,4
778,2
779,5
780,0
781,8
782,5
783,4
784,0
785,2
786,7
787,9
788,9
789,2
790,1
791,4
792,0
793,1
794,1
795,6
796,3
797,9
798,5
799,3
800,3
801,9
802,1
803,1
804,2
805,0
806,0
807,7
808,5
809,2
810,7
811,7
812,9
813,1
814,1
815,3
816,5
817,2
818,1
819,8
820,4
821,4
822,6
823,7
824,3
825,1
826,3
827,4
828,6
829,1
830,1
831,2
832,9
833,6
834,8
835,8
836,2
837,0
838,1
839,1
840,7
841,3
842,1
843,3
844,6
845,3
846,9
847,6
848,9
849,3
850,0
851,3
852,6
853,4
854,7
855,9
856,9
857,1
858,9
859,1
860,0
861,0
862,6
863,4
